"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Dani Carvajal","Real Madrid","ESP","DF",NA,29,29,73,108,1020,1193,85.5,522,568,91.9,87,122,71.3,396,459,86.3,25,24,8,1031,159,16,3,10,40,143,0,3,1366,18,10,55.6,8,44.4
"Dani Ceballos","Real Madrid","ESP","MF",NA,24,6,20,8,240,262,91.6,120,127,94.5,23,28,82.1,89,95,93.7,3,6,0,257,5,4,2,4,1,1,0,0,313,11,5,45.5,6,54.5
"Dani García","Athletic Club","ESP","MF",NA,31,10,115,7,804,1036,77.6,334,403,82.9,90,161,55.9,343,405,84.7,9,7,1,1013,19,18,2,10,4,1,0,4,1207,6,4,66.7,2,33.3
"Dani Gómez","Levante","ESP","FW",NA,23,22,15,87,155,197,78.7,104,119,87.4,5,9,55.6,34,39,87.2,13,6,0,168,27,0,2,1,5,2,0,2,361,46,18,39.1,28,60.9
"Dani Raba","Villarreal","ESP","MF","FW",25,1,5,12,2,3,66.7,1,1,100,0,1,0,1,1,100,0,0,0,3,0,0,1,0,0,0,0,0,61,3,1,33.3,2,66.7
"Dani Raba","Granada","ESP","MF","FW",25,1,0,2,29,48,60.4,13,18,72.2,6,13,46.2,7,13,53.8,4,2,0,3,0,0,1,0,0,0,0,0,61,3,1,33.3,2,66.7
"Dani Raba","Villarreal","ESP","MF","FW",25,1,5,12,2,3,66.7,1,1,100,0,1,0,1,1,100,0,0,0,35,13,5,2,0,10,1,4,0,61,3,1,33.3,2,66.7
"Dani Raba","Granada","ESP","MF","FW",25,1,0,2,29,48,60.4,13,18,72.2,6,13,46.2,7,13,53.8,4,2,0,35,13,5,2,0,10,1,4,0,61,3,1,33.3,2,66.7
"Dani Raba","Villarreal","ESP","MF","FW",25,1,5,12,29,48,60.4,13,18,72.2,6,13,46.2,7,13,53.8,4,2,0,3,0,0,1,0,0,0,0,0,61,3,1,33.3,2,66.7
"Dani Raba","Villarreal","ESP","MF","FW",25,1,5,12,29,48,60.4,13,18,72.2,6,13,46.2,7,13,53.8,4,2,0,35,13,5,2,0,10,1,4,0,61,3,1,33.3,2,66.7
